State,!,!=,%,&&,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,EOF,Ident,IntConst,const,else,float,floatConst,if,int,return,void,{,||,},Program,addExp,bType,block,blockItem,blockItem_list,compUnit,compUnit_item,compUnit_list,cond,constDecl,constDef,constDef_list,constExp,constInitVal,decl,else_opt,eqExp,exp,exp_opt,funcDef,funcFParam,funcFParam_list,funcFParams,funcFParams_opt,funcRParam,funcRParam_list,funcRParams,funcRParams_opt,initVal,lAndExp,lOrExp,lVal,mulExp,number,primaryExp,relExp,stmt,unaryExp,unaryOp,varDecl,varDef,varDef_list
68,,,,,,,,,,,,,,,,,,,,,,,,r28,,,,s51,,,,,,,,,,,,,,,,,,,,,,s82,,,,,,,,,,,,,,,,,,,,,,,,,
69,r23,r23,,r23,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,r32,r32,r32,r32,r32,r32,,r32,r32,,,,,,,,,,,,,r32,r32,,r32,r32,r32,,r32,r32,r32,,,,,,,,,,,,,,,,,,,,,,s83,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,r47,r47,r47,r47,r47,,r47,r47,r47,r47,r47,r47,r47,r47,,,r47,,,r47,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,r63,,,,r63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,r62,,,,s84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s85,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,r55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,s86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,r69,r69,s59,s60,s58,,r69,r69,r69,r69,r69,r69,r69,r69,,,r69,,,r69,r69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,r70,r70,s59,s60,s58,,r70,r70,r70,r70,r70,r70,r70,r70,,,r70,,,r70,r70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,r67,r67,r67,r67,r67,,r67,r67,r67,r67,r67,r67,r67,r67,,,r67,,,r67,r67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,r65,r65,r65,r65,r65,,r65,r65,r65,r65,r65,r65,r65,r65,,,r65,,,r65,r65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,r66,r66,r66,r66,r66,,r66,r66,r66,r66,r66,r66,r66,r66,,,r66,,,r66,r66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,s12,s14,s96,s7,s10,s94,,s30,s31,,,,,,,,,,,,,s28,s29,,s70,s98,r41,,s87,s33,s36,,,,,,s91,s8,,s88,,,s13,,,,,,,,,s89,,s90,s97,s93,,s92,,s95,s41,s40,s42,,s43,,,,s39,s34,,,,,
84,,,,,,,,s30,s31,,,,,,,,,,,,,s28,s29,,,,,,s32,s33,s36,,,,,,,,,,,,,,,,,,,,,,,,,,,s72,,s38,s41,s40,s42,,s43,,,s99,s39,s34,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,r60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,r53,r53,r53,r53,r53,,r53,r53,r53,r53,r53,r53,r53,r53,,,r53,,,r53,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,,s55,r46,,,r46,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s44,,,,,,,,,,,,,,,,s16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,r37,r37,r37,r37,r37,r37,r37,r37,r37,,,,,,,,,,,,,r37,r37,,r37,r37,r37,,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,r31,r31,r31,r31,r31,r31,,r31,r31,,,,,,,,,,,,,r31,r31,,r31,r31,r31,,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,r33,r33,r33,r33,r33,r33,,r33,r33,,,,,,,,,,,,,r33,r33,,r33,r33,r33,,r33,r33,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,s100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,s101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,r48,r48,r48,r48,r48,s102,r48,r48,r48,r48,r48,r48,r48,r48,,,r48,,,r48,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,s30,s31,,,,,,,,,,,,,s28,s29,,,,r41,,s32,s33,s36,,,,,,,,,,,,,,,,,,,,,,,,,s103,,s92,,s38,s41,s40,s42,,s43,,,,s39,s34,,,,,
97,r34,r34,r34,r34,r34,r34,,r34,r34,,,,,,,,,,,,,r34,r34,,r34,r34,r34,,r34,r34,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,r30,r30,r30,r30,r30,r30,r30,r30,r30,,,,,,,,,,,,,r30,r30,,r30,r30,r30,,r30,r30,r30,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,r62,,,,s84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s104,,,,,,,,
100,r36,r36,r36,r36,r36,r36,r36,r36,r36,,,,,,,,,,,,,r36,r36,,r36,r36,r36,,r36,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
